Timestamp,X,Y,Z
5595506,0.017212,-0.023560,1.010132
5596508,0.018799,-0.024170,1.011108
5597511,0.017700,-0.024170,1.011108
5598513,0.018799,-0.023071,1.010864
5599516,0.017456,-0.023315,1.011108
5600518,0.017090,-0.024536,1.010498
5601521,0.017090,-0.024658,1.011108
5602523,0.017700,-0.024414,1.010864
5603525,0.017334,-0.023926,1.011353
5604528,0.017578,-0.024292,1.010254
5605530,0.017700,-0.024048,1.011475
5606533,0.017578,-0.023926,1.011963
5607535,0.017700,-0.023804,1.011475
5608538,0.017212,-0.023437,1.011108
5609540,0.017212,-0.025146,1.010864
5610543,0.016968,-0.023804,1.010742
5611545,0.018433,-0.024048,1.011719
5612548,0.017944,-0.024414,1.011597
5613550,0.017578,-0.023682,1.011963
5614553,0.017456,-0.024658,1.011597
5615555,0.017578,-0.023437,1.011108
5616557,0.017822,-0.024414,1.011719
5617560,0.017456,-0.023804,1.011719
5618562,0.017700,-0.022827,1.011475
5619565,0.016846,-0.024658,1.012451
5620567,0.017456,-0.023437,1.011963
5621570,0.017212,-0.023437,1.011719
5622572,0.017212,-0.023804,1.011719
5623575,0.017700,-0.023560,1.011108
5624577,0.017090,-0.024902,1.011353
5625580,0.016602,-0.022705,1.011597
5626582,0.017334,-0.023071,1.011963
5627585,0.018188,-0.023682,1.011597
5628587,0.018188,-0.023804,1.011597
5629589,0.018066,-0.023804,1.011963
5630592,0.017456,-0.024170,1.012329
5631594,0.017944,-0.022827,1.012329
5632597,0.017212,-0.023560,1.011963
5633599,0.017822,-0.024292,1.012817
5634602,0.016479,-0.024292,1.012085
5635604,0.017456,-0.023315,1.011353
5636607,0.017334,-0.028076,1.012451
5637609,0.016357,-0.024780,1.012573
5638612,0.017944,-0.026001,1.012573
5639614,0.017578,-0.024048,1.012329
5640617,0.016846,-0.023804,1.011475
5641619,0.017456,-0.023437,1.011475
5642622,0.017334,-0.023193,1.011108
5643624,0.017334,-0.023560,1.010986
5644627,0.018188,-0.023682,1.010376
5645629,0.016602,-0.024414,1.010986
5646632,0.016968,-0.024536,1.010864
5647634,0.017090,-0.025513,1.010742
5648636,0.017212,-0.023560,1.010742
5649639,0.016113,-0.024414,1.011230
5650641,0.018066,-0.024170,1.011841
5651644,0.016479,-0.024292,1.011353
5652646,0.016602,-0.024292,1.012451
5653649,0.016968,-0.024048,1.011230
5654651,0.017090,-0.021118,1.010620
5655654,0.016968,-0.024048,1.011475
5656656,0.018311,-0.022583,1.010254
5657659,0.017578,-0.023926,1.010986
5658661,0.016602,-0.022461,1.010986
5659663,0.016479,-0.024170,1.011597
5660666,0.018066,-0.023315,1.011353
5661668,0.018066,-0.023315,1.010498
5662671,0.017822,-0.023437,1.010986
5663673,0.016846,-0.025513,1.010864
5664676,0.017700,-0.024048,1.011475
5665678,0.017456,-0.025391,1.011108
5666681,0.017456,-0.023804,1.010986
5667683,0.017700,-0.024536,1.011353
